AIID|statement_date|effdate_final_max|SALEQ|COGSQ|ATQ
S1|20031231|20040125|49.000000|15.680000|50.960000
S1|20040331|20040507|49.000000|19.110000|56.840000
S1|20040630|20040801|49.490000|16.826600|53.449200
S1|20040930|20041025|49.490000|17.816400|56.418600
S1|20041231|20050202|50.974700|18.860639|60.150146
S1|20050331|20050421|51.484447|16.475023|52.514136
S1|20050630|20050805|53.543825|19.811215|54.614701
S1|20050930|20051106|55.685578|15.035106|62.367847
S1|20051231|20060202|54.015011|19.985554|62.657412
S1|20060331|20060424|55.095311|14.875734|59.502936
S1|20060630|20060730|56.197217|19.669026|58.445106
S1|20060930|20061031|57.883133|22.574422|69.459760
S1|20061231|20070204|54.988977|13.747244|54.988977
S1|20070331|20070425|53.889197|15.088975|57.122549
S1|20070630|20070728|56.044765|18.494773|60.528346
S1|20070930|20071102|58.847003|22.361861|63.554764
S1|20071231|20080201|60.612414|19.395972|72.734896
S1|20080331|20080502|63.036910|21.432549|74.383554
S1|20080630|20080729|60.515434|19.970093|61.725742
S1|20080930|20081109|61.120588|16.502559|66.010235
S1|20081231|20090205|58.064559|21.483887|58.064559
S1|20090331|20090423|55.741976|18.952272|60.201334
S1|20090630|20090809|55.184556|18.762749|56.288248
S1|20090930|20091105|54.632711|20.214103|57.910674
S1|20091231|20100124|53.540057|15.526616|61.035665
S1|20100331|20100430|54.075457|17.844901|60.564512
S1|20100630|20100722|56.238476|15.746773|67.486171
S1|20100930|20101102|54.551321|14.183344|55.642348
S1|20101231|20110201|51.823755|13.474176|52.860230
S1|20110331|20110501|54.414943|17.412782|57.679840
S1|20110630|20110808|51.694196|16.025201|59.965267
S1|20110930|20111104|51.694196|15.508259|53.761964
S1|20111231|20120122|49.626428|16.872986|49.626428
S1|20120331|20120427|48.633899|12.644814|49.606577
S1|20120630|20120728|47.661221|17.158040|48.614446
S1|20120930|20121023|46.707997|16.347799|55.115436
S1|20121231|20130122|46.707997|14.012399|56.049596
S1|20130331|20130502|47.175077|15.096025|48.118579
S1|20130630|20130722|44.816323|11.204081|52.883261
S1|20130930|20131024|42.575507|17.030203|47.684568
S1|20131231|20140123|40.446732|15.774225|43.682470
S2|20130331|20130430|42.469068|15.288865|48.414738
S2|20130630|20130731|40.345615|16.138246|45.994001
S2|20130930|20131103|40.749071|15.077156|46.453941
S2|20131231|20140202|39.119108|15.256452|44.595783
S3|20121231|20130205|38.727917|12.005654|39.502475
S3|20130331|20130425|36.791521|13.244948|40.470673
S3|20130630|20130807|35.687776|14.275110|37.115287
S3|20130930|20131028|36.401531|9.828413|36.401531
S3|20131231|20140202|35.673500|13.199195|39.240850
S4|20130630|20130731|37.100440|14.098167|43.778520
S4|20130930|20131031|35.245418|9.516263|36.655235
S4|20131231|20140131|36.655235|12.829332|37.388340
