AIID|DataDate|PeriodName|PeriodEndDate|DataDate_PeriodData|LastReportDate|LastYearDate|LastQuarterDate|SecurityId|SmartEst_BPS|SmartEst_CPS|SmartEst_CPX|SmartEst_CSH|SmartEst_DPS|SmartEst_EBG|SmartEst_EBI|SmartEst_EBT|SmartEst_EPS|SmartEst_FFO|SmartEst_GM|SmartEst_GPS|SmartEst_NAV|SmartEst_NDT|SmartEst_NET|SmartEst_OPR|SmartEst_PRE|SmartEst_REV|SmartEst_ROA|SmartEst_ROE|StndDeviation_BPS|StndDeviation_CPS|StndDeviation_CPX|StndDeviation_CSH|StndDeviation_DPS|StndDeviation_EBG|StndDeviation_EBI|StndDeviation_EBT|StndDeviation_EPS|StndDeviation_FFO|StndDeviation_GM|StndDeviation_GPS|StndDeviation_NAV|StndDeviation_NDT|StndDeviation_NET|StndDeviation_OPR|StndDeviation_PRE|StndDeviation_REV|StndDeviation_ROA|StndDeviation_ROE|SmartEstAnalyst_BPS|SmartEstAnalyst_CPS|SmartEstAnalyst_CPX|SmartEstAnalyst_CSH|SmartEstAnalyst_DPS|SmartEstAnalyst_EBG|SmartEstAnalyst_EBI|SmartEstAnalyst_EBT|SmartEstAnalyst_EPS|SmartEstAnalyst_FFO|SmartEstAnalyst_GM|SmartEstAnalyst_GPS|SmartEstAnalyst_NAV|SmartEstAnalyst_NDT|SmartEstAnalyst_NET|SmartEstAnalyst_OPR|SmartEstAnalyst_PRE|SmartEstAnalyst_REV|SmartEstAnalyst_ROA|SmartEstAnalyst_ROE|ExpFY1ReportDate|ExpFQ1ReportDate
ai001004.01|20170131|FQ1|20170228|2016-12-21|20161221|20160531|20161130|1217|NA|1.6|9500000|NA|NA|NA|20670000|34560000|0.38|NA|15.29|0.38|881600000|111700000|12770000|NA|19560000|418800000|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|1|NA|NA|NA|NA|NA|NA|NA|NA|2|NA|NA|20170714|20170326
ai001004.01|20170131|FQ2|20170531|2016-12-21|20161221|20160531|20161130|1217|NA|0.08|9500000|NA|NA|NA|23690000|37580000|0.46|NA|15.11|0.46|893300000|111700000|14700000|NA|22790000|481220000|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|1|NA|NA|NA|NA|NA|NA|NA|NA|2|NA|NA|20170714|20170326
ai001004.01|20170131|FQ3|20170831|2016-12-21|20161221|20160531|20161130|1217|NA|NA|NA|NA|NA|NA|NA|NA|0.43|NA|NA|0.43|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|20170714|20170326
ai001004.01|20170131|FQ4|20171130|2016-12-21|20161221|20160531|20161130|1217|NA|NA|NA|NA|NA|NA|NA|NA|0.48|NA|NA|0.48|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|20170714|20170326
ai001004.01|20170131|FY1|20170531|2016-12-21|20161221|20160531|20161130|1217|NA|1.54|40340000|NA|NA|NA|80960000|142480000|1.48|NA|15.24|1.49|893300000|37990000|49470000|NA|76380000|1736250000|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|0.02|NA|NA|NA|NA|NA|NA|NA|NA|0.01|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|NA|NA|NA|NA|NA|NA|NA|NA|3|NA|NA|20170714|20170326
ai001004.01|20170131|FY2|20180531|2016-12-21|20161221|20160531|20161130|1217|NA|2.23|44200000|NA|NA|NA|102460000|165470000|2.06|NA|15.68|2.09|951900000|46020000|55700000|NA|99580000|1910820000|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|0.12|NA|NA|NA|NA|NA|NA|NA|NA|0.04|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|NA|NA|NA|NA|NA|NA|NA|NA|3|NA|NA|20170714|20170326
ai001004.01|20170131|FY3|20190531|2016-12-21|20161221|20160531|20161130|1217|NA|3.29|37150000|NA|NA|NA|146060000|197010000|2.57|NA|16.9|2.76|1028600000|63740000|92340000|NA|142060000|2113860000|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|20170714|20170326
ai001004.01|20170131|FY4|20200531|2016-12-21|20161221|20160531|20161130|1217|NA|NA|3.7e+07|NA|NA|NA|NA|2.05e+08|2.4|NA|NA|NA|NA|2.04e+08|NA|NA|NA|2.165e+09|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|20170714|20170326
ai001045.04|20170131|FQ1|20170331|2017-01-27|20170127|20161231|20161231|17252|7.88|-1.77|NA|NA|0.11|NA|684320000|1.266e+09|0.52|NA|7.59|0.57|3871400000|17162320000|274280000|NA|438190000|9600130000|NA|28.85|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|13|NA|NA|NA|NA|NA|NA|NA|NA|7|NA|NA|20180127|20170423
ai001045.04|20170131|FQ2|20170630|2017-01-27|20170127|20161231|20161231|17252|8.56|-0.86|NA|NA|0.11|NA|1466490000|2076470000|1.55|NA|14.39|1.63|4059370000|17443820000|760970000|NA|1242180000|10802490000|NA|78.84|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|12|NA|NA|NA|NA|NA|NA|NA|NA|7|NA|NA|20180127|20170423
