SmartEst_EPS|EPSAccount
SmartEst_NET|NetIncomeAccount
SmartEst_REV|OperatingRevenueAccount
SmartEst_EBI|OperatingProfitAccount
SmartEst_EBT|EBITDAAccount
SmartEst_NAV|TotalEquityCapitalAccount
SmartEst_NDT|TotalLiabilitiesAccount
SmartEstAnalyst_EPS|SmartEstAnalyst_EPS
SmartEstAnalyst_NET|SmartEstAnalyst_NET
SmartEstAnalyst_REV|SmartEstAnalyst_REV
SmartEstAnalyst_EBI|SmartEstAnalyst_EBI
SmartEstAnalyst_EBT|SmartEstAnalyst_EBT
SmartEstAnalyst_NAV|SmartEstAnalyst_NAV
SmartEstAnalyst_NDT|SmartEstAnalyst_NDT
SmartEstAnalyst_GM|SmartEstAnalyst_GM
StndDeviation_EBI|SmartEst_StndDeviation_EBI
StndDeviation_EBT|SmartEst_StndDeviation_EBT
StndDeviation_EPS|SmartEst_StndDeviation_EPS
StndDeviation_NAV|SmartEst_StndDeviation_NAV
StndDeviation_NDT|SmartEst_StndDeviation_NDT
StndDeviation_NET|SmartEst_StndDeviation_NET
StndDeviation_REV|SmartEst_StndDeviation_REV
StndDeviation_GM|SmartEst_StndDeviation_GM
