Date|AIID|active_v2|cusip|company_id|company_name|isin|issue_id|issue_number|issue_type|sedol|ticker|gvkey|iid|stock_ret_daily|VV_INDEX_RETURN_DAILY|stock_wealth|VV_INDEX_WEALTH_INDEX_DAILY|date_stock_ret_lag1
20130301|ai160329.01|Active|38259P508|160329|ALPHABET INC||16032901|01|Common or ordinary|B020QX2|GOOG|160329|01|0.006228157763354947|0.0023432458915198947|2620.477815699669|1841.8573386211162|20130228
20130304|ai160329.01|Active|38259P508|160329|ALPHABET INC||16032901|01|Common or ordinary|B020QX2|GOOG|160329|01|0.018995522147384536|0.004621649021179951|2670.255160084522|1850.3697567873076|20130301
20130305|ai160329.01|Active|38259P508|160329|ALPHABET INC||16032901|01|Common or ordinary|B020QX2|GOOG|160329|01|0.02081547990028043|0.00959937570346011|2725.837802697881|1868.132151273029|20130304
20130306|ai160329.01|Active|38259P508|160329|ALPHABET INC||16032901|01|Common or ordinary|B020QX2|GOOG|160329|01|-0.008614316173068626|0.001369988895819909|2702.356574028939|1870.691471576197|20130305
20130307|ai160329.01|Active|38259P508|160329|ALPHABET INC||16032901|01|Common or ordinary|B020QX2|GOOG|160329|01|0.0014626284009717772|0.0019136071900101017|2706.3091175036666|1874.2712402264958|20130306
20130308|ai160329.01|Active|38259P508|160329|ALPHABET INC||16032901|01|Common or ordinary|B020QX2|GOOG|160329|01|-0.0012923434654983357|0.004552393036929908|2702.811636600042|1882.803659569821|20130307
20130311|ai160329.01|Active|38259P508|160329|ALPHABET INC||16032901|01|Common or ordinary|B020QX2|GOOG|160329|01|0.003968635751395055|0.0033419221882100823|2713.5381114903394|1889.0958428957804|20130308
20130312|ai160329.01|Active|38259P508|160329|ALPHABET INC||16032901|01|Common or ordinary|B020QX2|GOOG|160329|01|-0.00863659231930236|-0.0023527210914001053|2690.1023890785077|1884.6513272625234|20130311
20130313|ai160329.01|Active|38259P508|160329|ALPHABET INC||16032901|01|Common or ordinary|B020QX2|GOOG|160329|01|-0.0027790867679221565|0.001650382325620088|2682.626361124664|1887.7617225029937|20130312
20130314|ai160329.01|Active|38259P508|160329|ALPHABET INC||16032901|01|Common or ordinary|B020QX2|GOOG|160329|01|-0.00456798051641194|0.0056240574722699515|2670.3721761742336|1898.3786029243017|20130313
20130315|ai160329.01|Active|38259P508|160329|ALPHABET INC||16032901|01|Common or ordinary|B020QX2|GOOG|160329|01|-0.008810283126810536|-0.0016233356683600622|2646.845441248181|1895.2968972261233|20130314
20130318|ai160329.01|Active|38259P508|160329|ALPHABET INC||16032901|01|Common or ordinary|B020QX2|GOOG|160329|01|-0.007997033041795332|-0.00549931652380993|2625.6785307979935|1884.874059681682|20130315
20130319|ai160329.01|Active|38259P508|160329|ALPHABET INC||16032901|01|Common or ordinary|B020QX2|GOOG|160329|01|0.00436994763490528|-0.0024053225564999348|2637.152608483676|1880.340329589768|20130318
20130320|ai160329.01|Active|38259P508|160329|ALPHABET INC||16032901|01|Common or ordinary|B020QX2|GOOG|160329|01|0.004175910861312415|0.006707779615809951|2648.165122704381|1892.9532381233755|20130319
20130321|ai160329.01|Active|38259P508|160329|ALPHABET INC||16032901|01|Common or ordinary|B020QX2|GOOG|160329|01|-0.0042321911654236155|-0.008263171847990036|2636.9575816674887|1877.311440216553|20130320
20130322|ai160329.01|Active|38259P508|160329|ALPHABET INC||16032901|01|Common or ordinary|B020QX2|GOOG|160329|01|-0.0011710179227375495|0.00716968877148998|2633.869657077857|1890.7711789700634|20130321
20130325|ai160329.01|Active|38259P508|160329|ALPHABET INC||16032901|01|Common or ordinary|B020QX2|GOOG|160329|01|-8.26844047339903E-4|-0.0033362775428898797|2631.6918576304333|1884.463041546922|20130322
20130326|ai160329.01|Active|38259P508|160329|ALPHABET INC||16032901|01|Common or ordinary|B020QX2|GOOG|160329|01|0.003433624820907921|0.00812265271293998|2640.7281001137744|1899.7698803837782|20130325
20130327|ai160329.01|Active|38259P508|160329|ALPHABET INC||16032901|01|Common or ordinary|B020QX2|GOOG|160329|01|-0.012013490559070417|-5.320117820500171E-4|2609.0037380139856|1898.7591804242304|20130326
20130328|ai160329.01|Active|38259P508|160329|ALPHABET INC||16032901|01|Common or ordinary|B020QX2|GOOG|160329|01|-0.01055490494107092|0.0040587097640299025|2581.4659515683493|1906.4656928493596|20130327
